Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Model-Driven Simulation for Performance Engineering of Kubernetes-Style Cloud Cluster Architectures","Advances in Service-Oriented and Cloud Computing","","","","10.1007/978-3-030-63161-1_1","Federico GhirardiniAreeg SamirIlenia FronzaClaus Pahl","2020","http://link.springer.com/chapter/10.1007/978-3-030-63161-1_1","Chapter"
"Cloud-Based M&S for Cyber-Physical Systems Engineering","Simulation for Cyber-Physical Systems Engineering","","","","10.1007/978-3-030-51909-4_1","José L. Risco MartínSaurabh Mittal","2020","http://link.springer.com/chapter/10.1007/978-3-030-51909-4_1","Chapter"
"Models in the Cloud: Exploring Next Generation Environmental Software Systems","Environmental Software Systems. Data Science in Action","","","","10.1007/978-3-030-39815-6_21","Will SimmGordon BlairRichard BassettFaiza SamreenPaul Young","2020","http://link.springer.com/chapter/10.1007/978-3-030-39815-6_21","Chapter"
"Evolving Adaptation Rules at Runtime for Multi-cloud Applications","Cloud Computing and Services Science","","","","10.1007/978-3-030-49432-2_11","Kyriakos KritikosChrysostomos ZeginisEleni PolitakiDimitris Plexousakis","2020","http://link.springer.com/chapter/10.1007/978-3-030-49432-2_11","Chapter"
"Cloud-Enabled Domain-Based Software Development","Software Engineering in the Era of Cloud Computing","","","","10.1007/978-3-030-33624-0_5","Selma SulogluM. Cagri KayaAnil CetinkayaAlper KaramanliogluAli H. Dogru","2020","http://link.springer.com/chapter/10.1007/978-3-030-33624-0_5","Chapter"
"Are Cloud Platforms Ready for Multi-cloud?","Service-Oriented and Cloud Computing","","","","10.1007/978-3-030-44769-4_5","Kyriakos KritikosPaweł SkrzypekFeroz Zahid","2020","http://link.springer.com/chapter/10.1007/978-3-030-44769-4_5","Chapter"
"Application Optimisation: Workload Prediction and Autonomous Autoscaling of Distributed Cloud Applications","Managing Distributed Cloud Applications and Infrastructure","","","","10.1007/978-3-030-39863-7_3","Per-Olov ÖstbergThang Le DucPaolo CasariRafael García LeivaAntonio Fernández AntaJörg Domaschka","2020","http://link.springer.com/chapter/10.1007/978-3-030-39863-7_3","Chapter"
"Dynamic Management of Multi-level-simulation Workflows in the Cloud","Simulation Science","","","","10.1007/978-3-030-45718-1_2","Johannes ErbelStefan WittekJens GrabowskiAndreas Rausch","2020","http://link.springer.com/chapter/10.1007/978-3-030-45718-1_2","Chapter"
"Technology-Agnostic Declarative Deployment Automation of Cloud Applications","Service-Oriented and Cloud Computing","","","","10.1007/978-3-030-44769-4_8","Michael WursterUwe BreitenbücherAntonio BrogiLukas HarzenetterFrank LeymannJacopo Soldani","2020","http://link.springer.com/chapter/10.1007/978-3-030-44769-4_8","Chapter"
"Composing Cyber-Physical Simulation Services in the Cloud via the DEVS Distributed Modeling Framework","Simulation for Cyber-Physical Systems Engineering","","","","10.1007/978-3-030-51909-4_8","Rob Kewley","2020","http://link.springer.com/chapter/10.1007/978-3-030-51909-4_8","Chapter"
"Experimenting with Liveness in Cloud Infrastructure Management","Evaluation of Novel Approaches to Software Engineering","","","","10.1007/978-3-030-40223-5_4","Pedro LourençoJoão Pedro DiasAdemar AguiarHugo Sereno FerreiraAndré Restivo","2020","http://link.springer.com/chapter/10.1007/978-3-030-40223-5_4","Chapter"
"AutoCADep: An Approach for Automatic Cloud Application Deployment","Service-Oriented Computing – ICSOC 2019 Workshops","","","","10.1007/978-3-030-45989-5_7","Saddam Hocine HibaMeriem Belguidoum","2020","http://link.springer.com/chapter/10.1007/978-3-030-45989-5_7","Chapter"
"Modelling 5G Cloud-Native Applications by Exploiting the Service Mesh Paradigm","Information Systems","","","","10.1007/978-3-030-44322-1_12","Ilias TsoumasChrysostomos SymvoulidisDimosthenis KyriazisPanagiotis GouvasAnastasios ZafeiropoulosJavier MelianJanez Sterle","2020","http://link.springer.com/chapter/10.1007/978-3-030-44322-1_12","Chapter"
"A UML Profile for the Service Discovery in the Enterprise Cloud Bus (ECB) Framework","Complex, Intelligent, and Software Intensive Systems","","","","10.1007/978-3-030-22354-0_25","Misbah ZahoorFarooque AzamMuhammad Waseem AnwarNazish YousafMuhammad Kashif","2020","http://link.springer.com/chapter/10.1007/978-3-030-22354-0_25","Chapter"
"Trust Modeling in Cloud","Trust & Fault in Multi Layered Cloud Computing Architecture","","","","10.1007/978-3-030-37319-1_4","Punit GuptaPradeep Kumar Gupta","2020","http://link.springer.com/chapter/10.1007/978-3-030-37319-1_4","Chapter"
"Metadata Action Network Model for Cloud Based Development Environment","Trends and Innovations in Information Systems and Technologies","","","","10.1007/978-3-030-45697-9_52","Mehmet N. AydinZiya N. PerdahciI. SafakJ. (Jos) van Hillegersberg","2020","http://link.springer.com/chapter/10.1007/978-3-030-45697-9_52","Chapter"
"Dynamic Patterns for Cloud Application Life-Cycle Management","Advances on P2P, Parallel, Grid, Cloud and Internet Computing","","","","10.1007/978-3-030-33509-0_59","Geir HornLeire Orue-Echevarria ArrietaBeniamino Di MartinoPaweł SkrzypekDimosthenis Kyriazis","2020","http://link.springer.com/chapter/10.1007/978-3-030-33509-0_59","Chapter"
