Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"A Survey on Cloud Computing Simulation and Modeling","SN Computer Science","","1","5","10.1007/s42979-020-00273-1","Ilyas Bambrik","2020","http://link.springer.com/article/10.1007/s42979-020-00273-1","Article"
"Requirements for a model-driven cloud-native migration of monolithic web-based applications","SICS Software-Intensive Cyber-Physical Systems","","35","1 - 2","10.1007/s00450-019-00414-9","Robin LichtenthälerMike PrechtlChristoph SchwilleTobias SchwartzPascal CezanneGuido Wirtz","2020","http://link.springer.com/article/10.1007/s00450-019-00414-9","Article"
"Proactive planning of bandwidth resource using simulation-based what-if predictions for Web services in the cloud","Frontiers of Computer Science","","15","1","10.1007/s11704-019-9117-x","Jianpeng HuLinpeng HuangTianqi SunYing FanWenqiang HuHao Zhong","2020","http://link.springer.com/article/10.1007/s11704-019-9117-x","Article"
"Cloud resource orchestration in the multi-cloud landscape: a systematic review of existing frameworks","Journal of Cloud Computing","","9","1","10.1186/s13677-020-00194-7","Orazio TomarchioDomenico CalcaterraGiuseppe Di Modica","2020","http://link.springer.com/article/10.1186/s13677-020-00194-7","Article"
"A security requirements modelling language for cloud computing environments","Software and Systems Modeling","","19","2","10.1007/s10270-019-00747-8","Haralambos MouratidisShaun SheiAidan Delaney","2020","http://link.springer.com/article/10.1007/s10270-019-00747-8","Article"
"Energy-driven cloud simulation: existing surveys, simulation supports, impacts and challenges","Cluster Computing","","23","4","10.1007/s10586-020-03068-4","Azlan Ismail","2020","http://link.springer.com/article/10.1007/s10586-020-03068-4","Article"
"Groundwater recharge and water table levels modelling using remotely sensed data and cloud-computing","Sustainable Water Resources Management","","6","6","10.1007/s40899-020-00469-6","Pedro Henrique Jandreice MagnoniCésar de Oliveira Ferreira SilvaRodrigo Lilla Manzione","2020","http://link.springer.com/article/10.1007/s40899-020-00469-6","Article"
"Learner modeling in cloud computing","Education and Information Technologies","","25","6","10.1007/s10639-020-10185-5","Sameh GhallabiFathi EssalmiMohamed JemniKinshuk","2020","http://link.springer.com/article/10.1007/s10639-020-10185-5","Article"
"An elastic controller using Colored Petri Nets in cloud computing environment","Cluster Computing","","23","2","10.1007/s10586-019-02972-8","Ali ShahidinejadMostafa Ghobaei-AraniLeila Esmaeili","2020","http://link.springer.com/article/10.1007/s10586-019-02972-8","Article"
"Development of a hybrid DLT cloud architecture for the automated use of finite element simulation as a service for fine blanking","The International Journal of Advanced Manufacturing Technology","","108","11 - 12","10.1007/s00170-020-05567-5","Joachim StankeMartin UnterbergDaniel TrauthThomas Bergs","2020","http://link.springer.com/article/10.1007/s00170-020-05567-5","Article"
"An Event-B based approach for cloud
composite services verification","Formal Aspects of Computing","","32","4 - 6","10.1007/s00165-020-00517-0","Aida LahouijLazhar HamelMohamed GraietBéchir el Ayeb","2020","http://link.springer.com/article/10.1007/s00165-020-00517-0","Article"
"Approach for Selecting and Integrating Cloud Services to Construct Hybrid Cloud","Journal of Grid Computing","","18","3","10.1007/s10723-020-09519-x","Joonseok ParkUngsoo KimDonggyu YunKeunhyuk Yeom","2020","http://link.springer.com/article/10.1007/s10723-020-09519-x","Article"
"Product platform architecture for cloud manufacturing","Advances in Manufacturing","","8","3","10.1007/s40436-020-00306-1","Wei WeiFeng ZhouPeng-Fei Liang","2020","http://link.springer.com/article/10.1007/s40436-020-00306-1","Article"
"Cloud adoption for e-learning: Survey and future challenges","Education and Information Technologies","","25","2","10.1007/s10639-019-10021-5","Minhaj Ahmad KhanKhaled Salah","2020","http://link.springer.com/article/10.1007/s10639-019-10021-5","Article"
"Dynamic replication factor model for Linux containers-based cloud systems","The Journal of Supercomputing","","76","9","10.1007/s11227-020-03158-5","Heithem AbbesThouraya LouatiChristophe Cérin","2020","http://link.springer.com/article/10.1007/s11227-020-03158-5","Article"
"Specification of cloud topologies and orchestration using TOSCA: a survey","Computing","","102","8","10.1007/s00607-019-00750-3","Julian BellendorfZoltán Ádám Mann","2020","http://link.springer.com/article/10.1007/s00607-019-00750-3","Article"
"A knowledge-based multi-criteria collaborative filtering approach for discovering services in mobile cloud computing platforms","Journal of Intelligent Information Systems","","54","1","10.1007/s10844-018-0527-2","Luis Omar Colombo-MendozaRafael Valencia-GarcíaRicardo Colomo-PalaciosGiner Alor-Hernández","2020","http://link.springer.com/article/10.1007/s10844-018-0527-2","Article"
"Autonomic Management Framework for Cloud-Native Applications","Journal of Grid Computing","","18","4","10.1007/s10723-020-09532-0","Joanna KosińskaKrzysztof Zieliński","2020","http://link.springer.com/article/10.1007/s10723-020-09532-0","Article"
"Formalizing and simulating cross-layer elasticity strategies in Cloud systems","Cluster Computing","","23","3","10.1007/s10586-020-03080-8","Khaled KhebbebNabil HameurlainFaiza Belala","2020","http://link.springer.com/article/10.1007/s10586-020-03080-8","Article"
"A data-driven cyber-physical approach for personalised smart, connected product co-development in a cloud-based environment","Journal of Intelligent Manufacturing","","31","1","10.1007/s10845-018-1430-y","Pai ZhengXun XuChun-Hsien Chen","2020","http://link.springer.com/article/10.1007/s10845-018-1430-y","Article"
"Method, formalization, and algorithms to split topology models for distributed cloud application deployments","Computing","","102","2","10.1007/s00607-019-00721-8","Karoline SaatkampUwe BreitenbücherOliver KoppFrank Leymann","2020","http://link.springer.com/article/10.1007/s00607-019-00721-8","Article"
"A review of data replication based on meta-heuristics approach in cloud computing and data grid","Soft Computing","","24","19","10.1007/s00500-020-04802-1","Najme MansouriMohammad Masoud Javidi","2020","http://link.springer.com/article/10.1007/s00500-020-04802-1","Article"
"A Survey on the Computation Offloading Approaches in Mobile Edge/Cloud Computing Environment: A Stochastic-based Perspective","Journal of Grid Computing","","18","4","10.1007/s10723-020-09530-2","Ali ShakaramiMostafa Ghobaei-AraniMohammad MasdariMehdi Hosseinzadeh","2020","http://link.springer.com/article/10.1007/s10723-020-09530-2","Article"
"Describing and Processing Topology and Quality of Service Parameters of Applications in the Cloud","Journal of Grid Computing","","18","4","10.1007/s10723-020-09524-0","Gabriele PierantoniTamas KissGabor TerstyanszkyJames DesLauriersGregoire GesmierHai-Van Dang","2020","http://link.springer.com/article/10.1007/s10723-020-09524-0","Article"
"Fast LSTM by dynamic decomposition on cloud and distributed systems","Knowledge and Information Systems","","62","11","10.1007/s10115-020-01487-8","Yang YouYuxiong HeSamyam RajbhandariWenhan WangCho-Jui HsiehKurt KeutzerJames Demmel","2020","http://link.springer.com/article/10.1007/s10115-020-01487-8","Article"
"Efficient resourceful mobile cloud architecture (mRARSA) for resource demanding applications","Journal of Cloud Computing","","9","1","10.1186/s13677-020-0155-6","Asharul IslamAnoop KumarKhalid MohiuddinSadaf YasminMohammed Abdul KhaleelMohammad Rashid Hussain","2020","http://link.springer.com/article/10.1186/s13677-020-0155-6","Article"
"Equilibrium: an elasticity controller for parallel tree search in the cloud","The Journal of Supercomputing","","76","11","10.1007/s11227-020-03197-y","Stefan KehrerWolfgang Blochinger","2020","http://link.springer.com/article/10.1007/s11227-020-03197-y","Article"
"Elastic HDFS: interconnected distributed architecture for availability–scalability enhancement of large-scale cloud storages","The Journal of Supercomputing","","76","1","10.1007/s11227-019-03017-y","M. MaghsoudlooN. Khoshavi","2020","http://link.springer.com/article/10.1007/s11227-019-03017-y","Article"
"Deep learning-driven wireless communication for edge-cloud computing: opportunities and challenges","Journal of Cloud Computing","","9","1","10.1186/s13677-020-00168-9","Huaming WuXiangyi LiYingjun Deng","2020","http://link.springer.com/article/10.1186/s13677-020-00168-9","Article"
"A forefront to machine translation technology: deployment on the cloud as a service to enhance QoS parameters","Soft Computing","","24","21","10.1007/s00500-020-04923-7","Muskaan SinghRavinder KumarInderveer Chana","2020","http://link.springer.com/article/10.1007/s00500-020-04923-7","Article"
"MEACC: an energy-efficient framework for smart devices using cloud computing systems","Frontiers of Information Technology & Electronic Engineering","","21","6","10.1631/FITEE.1900198","Khalid AlsubhiZuhaib ImtiazAyesha RaanaM. Usman AshrafBabur Hayat","2020","http://link.springer.com/article/10.1631/FITEE.1900198","Article"
"IoTEF: A Federated Edge-Cloud Architecture for Fault-Tolerant IoT Applications","Journal of Grid Computing","","18","1","10.1007/s10723-019-09498-8","Asad JavedJérémy RobertKeijo HeljankoKary Främling","2020","http://link.springer.com/article/10.1007/s10723-019-09498-8","Article"
"A security event description of intelligent applications in edge-cloud environment","Journal of Cloud Computing","","9","1","10.1186/s13677-020-00171-0","Qianmu LiXiaochun YinShunmei MengYaozong LiuZijian Ying","2020","http://link.springer.com/article/10.1186/s13677-020-00171-0","Article"
"Cloud of Things: architecture, applications and challenges","Journal of Ambient Intelligence and Humanized Computing","","","","10.1007/s12652-020-02448-3","Fahd AlhaidariAtta RahmanRachid Zagrouba","2020","http://link.springer.com/article/10.1007/s12652-020-02448-3","Article"
"Composition modeling for manufacturing resource cloud service","Service Oriented Computing and Applications","","14","2","10.1007/s11761-019-00280-y","Guodong YiHangjian HuShuyou ZhangLongfei Sun","2020","http://link.springer.com/article/10.1007/s11761-019-00280-y","Article"
"A hybrid formal verification approach for QoS-aware multi-cloud service composition","Cluster Computing","","23","4","10.1007/s10586-019-03018-9","Alireza SouriAmir Masoud RahmaniNima Jafari NavimipourReza Rezaei","2020","http://link.springer.com/article/10.1007/s10586-019-03018-9","Article"
"Optimized hybrid service brokering for multi-cloud architectures","The Journal of Supercomputing","","76","1","10.1007/s11227-019-03048-5","Minhaj Ahmad Khan","2020","http://link.springer.com/article/10.1007/s11227-019-03048-5","Article"
"ConvLSTMConv network: a deep learning approach for sentiment analysis in cloud computing","Journal of Cloud Computing","","9","1","10.1186/s13677-020-00162-1","Mohsen GhorbaniMahdi BahaghighatQin XinFigen Özen","2020","http://link.springer.com/article/10.1186/s13677-020-00162-1","Article"
