Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Data and Cloud Polymorphic Application Modelling in Multi-clouds and Fog Environments","Advanced Information Systems Engineering","","","","10.1007/978-3-030-79382-1_27","Yiannis VerginadisKyriakos KritikosIoannis Patiniotakis","2021","http://link.springer.com/chapter/10.1007/978-3-030-79382-1_27","Chapter"
"Modelling Service-Oriented Systems and Cloud Services with Heraklit","Advances in Service-Oriented and Cloud Computing","","","","10.1007/978-3-030-71906-7_7","Peter FettkeWolfgang Reisig","2021","http://link.springer.com/chapter/10.1007/978-3-030-71906-7_7","Chapter"
"Cloud Based Business Process Modeling Environment – The Systematic Literature Review","Recent Challenges in Intelligent Information and Database Systems","","","","10.1007/978-981-16-1685-3_34","Anna Sołtysik-PiorunkiewiczPatryk Morawiec","2021","http://link.springer.com/chapter/10.1007/978-981-16-1685-3_34","Chapter"
"Ontology-Based Modeling of Cloud Application Using Security Patterns","Internet of Things and Connected Technologies","","","","10.1007/978-3-030-76736-5_37","Ashish Kumar DwivediShashank Mouli SatapathyAakanksha Sharaff","2021","http://link.springer.com/chapter/10.1007/978-3-030-76736-5_37","Chapter"
"Functionizer - A Cloud Agnostic Platform for Serverless Computing","Advanced Information Networking and Applications","","","","10.1007/978-3-030-75078-7_54","Oliviu MateiKatarzyna MaterkaPaweł SkyscraperRudolf Erdei","2021","http://link.springer.com/chapter/10.1007/978-3-030-75078-7_54","Chapter"
"An Insight on Context-Aware Mobile Application Execution in Mobile Cloud IoT (MCIoT)","International Virtual Conference on Industry 4.0","","","","10.1007/978-981-16-1244-2_6","L. ShakkeeraY. Sharmasth ValiSantosh Karthikeyan Viswanathan","2021","http://link.springer.com/chapter/10.1007/978-981-16-1244-2_6","Chapter"
"Comparative Analysis of Various Simulation Tools Used in a Cloud Environment for Task-Resource Mapping","Proceedings of the International Conference on Paradigms of Computing, Communication and Data Sciences","","","","10.1007/978-981-15-7533-4_32","Harvinder SinghSanjay TyagiPardeep Kumar","2021","http://link.springer.com/chapter/10.1007/978-981-15-7533-4_32","Chapter"
"Mudahnya BM: A Context-Aware Mobile Cloud Learning Application Using Semantic-Based Approach","Advances in Visual Informatics","","","","10.1007/978-3-030-90235-3_20","Sufri MuhammadNovia AdmodisastroHafeez OsmanNorhayati Mohd Ali","2021","http://link.springer.com/chapter/10.1007/978-3-030-90235-3_20","Chapter"
"Cloud Networked Models of Knowledge-Based Intelligent Control Towards Manufacturing as a Service","Service Oriented, Holonic and Multi-Agent Manufacturing Systems for Industry of the Future","","","","10.1007/978-3-030-69373-2_1","Theodor BorangiuRadu F. BabiceanuSilviu RăileanuOctavian MorariuFlorin AntonCristina MorariuSilvia Anton","2021","http://link.springer.com/chapter/10.1007/978-3-030-69373-2_1","Chapter"
"Research of Blockchain-Based “Edge-Cloud” Collaborative Model, System Architecture and Overall Layout for Railway Application","Emerging Trends in Intelligent and Interactive Systems and Applications","","","","10.1007/978-3-030-63784-2_41","Ma JianjunWang WanqiShen HaiyanDuan Jiaying","2021","http://link.springer.com/chapter/10.1007/978-3-030-63784-2_41","Chapter"
"Cloud Services Discovery Assistant for Business Process Development","Evaluation of Novel Approaches to Software Engineering","","","","10.1007/978-3-030-70006-5_3","Hamdi GabsiRim DriraHenda Hajjami Ben Ghezala","2021","http://link.springer.com/chapter/10.1007/978-3-030-70006-5_3","Chapter"
"Cloud Architecture Based Learning Kit Platform for Education and Research – A Survey and Implementation","Ubiquitous Networking","","","","10.1007/978-3-030-86356-2_15","Bramha S. TripathiRitu GuptaS. R. N. Reddy","2021","http://link.springer.com/chapter/10.1007/978-3-030-86356-2_15","Chapter"
"3D Point Cloud Data Enabled Facility Management: A Critical Review","Proceedings of the 23rd International Symposium on Advancement of Construction Management and Real Estate","","","","10.1007/978-981-15-3977-0_49","Jinying XuKe ChenFan XueWeisheng Lu","2021","http://link.springer.com/chapter/10.1007/978-981-15-3977-0_49","Chapter"
"Quantum Ecosystem Development Using Advanced Cloud Services","Ubiquitous Networking","","","","10.1007/978-3-030-86356-2_14","Lalitha Nallamothula","2021","http://link.springer.com/chapter/10.1007/978-3-030-86356-2_14","Chapter"
"Cloud Computing Projects: A Bibliometric Overview","Advanced Information Networking and Applications","","","","10.1007/978-3-030-75078-7_14","Teodor-Florin FortișAlexandra-Emilia Fortiș","2021","http://link.springer.com/chapter/10.1007/978-3-030-75078-7_14","Chapter"
"An Intuitive Extensible Framework for Implementing Cloud Broker Architectures","Advances in Electronics, Communication and Computing","","","","10.1007/978-981-15-8752-8_51","Anitha PonrajD. C. JaswanthD. PraneethM. S. RoobiniG. Marry Valantina","2021","http://link.springer.com/chapter/10.1007/978-981-15-8752-8_51","Chapter"
