Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Autonomic Computing in Cloud Resource Management in Industry 4.0","EAI/Springer Innovations in Communication and Computing","","","","10.1007/978-3-030-71756-8","Tanupriya ChoudhuryBhupesh Kumar DewanganDr. Ravi TomarBhupesh Kumar SinghTeoh Teik ToeDr. Nguyen Gia Nhu","2021","http://link.springer.com/book/10.1007/978-3-030-71756-8","Book"
"Cloud Computing, Big Data & Emerging Topics","Communications in Computer and Information Science","","","","10.1007/978-3-030-84825-5","Marcelo NaioufDr. Enzo RucciFranco ChichizolaLaura De Giusti","2021","http://link.springer.com/book/10.1007/978-3-030-84825-5","Book"
"Multimedia Cloud Computing Systems","","","","","10.1007/978-3-030-88451-2","Dr. Mohsen Amini SalehiDr. Xiangbo Li","2021","http://link.springer.com/book/10.1007/978-3-030-88451-2","Book"
"Advanced Soft Computing Techniques in Data Science, IoT and Cloud Computing","Studies in Big Data","","","","10.1007/978-3-030-75657-4","Dr. Sujata DashDr. Subhendu Kumar PaniProf. Dr. Ajith AbrahamYulan Liang","2021","http://link.springer.com/book/10.1007/978-3-030-75657-4","Book"
"The Fusion of Internet of Things, Artificial Intelligence, and Cloud Computing in Health Care","Internet of Things","","","","10.1007/978-3-030-75220-0","Prof. Patrick SiarryDr. M.A. JabbarDr. Rajanikanth AluvaluProf. Dr. Ajith AbrahamDr. Ana Madureira","2021","http://link.springer.com/book/10.1007/978-3-030-75220-0","Book"
"The Definitive Guide to Conversational AI with Dialogflow and Google Cloud","","","","","10.1007/978-1-4842-7014-1","Lee Boonstra","2021","http://link.springer.com/book/10.1007/978-1-4842-7014-1","Book"
"3D Point Cloud Analysis","","","","","10.1007/978-3-030-89180-0","Dr. Shan LiuMin ZhangPranav KadamProf. C.-C. Jay Kuo","2021","http://link.springer.com/book/10.1007/978-3-030-89180-0","Book"
"Cloud Native Integration with Apache Camel","","","","","10.1007/978-1-4842-7211-4","Guilherme Camposo","2021","http://link.springer.com/book/10.1007/978-1-4842-7211-4","Book"
"Cloud Defense Strategies with Azure Sentinel","","","","","10.1007/978-1-4842-7132-2","Marshall Copeland","2021","http://link.springer.com/book/10.1007/978-1-4842-7132-2","Book"
"Systematic Cloud Migration","","","","","10.1007/978-1-4842-7252-7","Taras Gleb","2021","http://link.springer.com/book/10.1007/978-1-4842-7252-7","Book"
"Algorithmic Aspects of Cloud Computing","Lecture Notes in Computer Science","","","","10.1007/978-3-030-93043-1","Gianlorenzo D’AngeloOthon Michail","2021","http://link.springer.com/book/10.1007/978-3-030-93043-1","Book"
