Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Cloud Native Architecture and Design","","","","","10.1007/978-1-4842-7226-8","Shivakumar R Goniwada","2022","http://link.springer.com/book/10.1007/978-1-4842-7226-8","Book"
"Operationalizing Multi-Cloud Environments","EAI/Springer Innovations in Communication and Computing","","","","10.1007/978-3-030-74402-1","Dr. Rajganesh NagarajanDr. Pethuru RajDr. Ramkumar Thirunavukarasu","2022","http://link.springer.com/book/10.1007/978-3-030-74402-1","Book"
"Artificial Intelligence for Cloud and Edge Computing","Internet of Things","","","","10.1007/978-3-030-80821-1","Prof. Sanjay MisraProf. Amit Kumar TyagiProf. Vincenzo PiuriDr. Lalit Garg","2022","http://link.springer.com/book/10.1007/978-3-030-80821-1","Book"
"Performance optimization for cloud computing systems in the microservice era: state-of-the-art and research opportunities","Frontiers of Computer Science","","16","6","10.1007/s11704-020-0072-3","Rong ZengXiaofeng HouLu ZhangChao LiWenli ZhengMinyi Guo","2022","http://link.springer.com/article/10.1007/s11704-020-0072-3","Article"
"IoT and Cloud Computing for Societal Good","EAI/Springer Innovations in Communication and Computing","","","","10.1007/978-3-030-73885-3","Dr. Jitendra Kumar VermaDr. Deepak SaxenaDr. Vicente González-Prida","2022","http://link.springer.com/book/10.1007/978-3-030-73885-3","Book"
"Advances on P2P, Parallel, Grid, Cloud and Internet Computing","Lecture Notes in Networks and Systems","","","","10.1007/978-3-030-89899-1","Prof. Leonard Barolli","2022","http://link.springer.com/book/10.1007/978-3-030-89899-1","Book"
"Contemporary Issues in Communication, Cloud and Big Data Analytics","Lecture Notes in Networks and Systems","","","","10.1007/978-981-16-4244-9","Dr. Hiren Kumar Deva SarmaDr. Valentina Emilia BalasDr. Bhaskar BhuyanDr. Nitul Dutta","2022","http://link.springer.com/book/10.1007/978-981-16-4244-9","Book"
"Blockchain Security in Cloud Computing","EAI/Springer Innovations in Communication and Computing","","","","10.1007/978-3-030-70501-5","K.M. BaalamuruganS. Rakesh KumarDr. Abhishek KumarVishal KumarDr. Sanjeevikumar Padmanaban","2022","http://link.springer.com/book/10.1007/978-3-030-70501-5","Book"
"A novel virtual machine placement algorithm using RF element in cloud infrastructure","The Journal of Supercomputing","","78","1","10.1007/s11227-021-03863-9","Seyed Milad FarzanehOmid Fatemi","2022","http://link.springer.com/article/10.1007/s11227-021-03863-9","Article"
"DewBCity: blockchain network-based dew-cloud modeling for distributed and decentralized smart cities","The Journal of Supercomputing","","","","10.1007/s11227-021-04203-7","Sourav HatiDebashis DeAnwesha Mukherjee","2022","http://link.springer.com/article/10.1007/s11227-021-04203-7","Article"
"Neighborhood co-occurrence modeling in 3D point cloud segmentation","Computational Visual Media","","8","2","10.1007/s41095-021-0244-6","Jingyu GongZhou YeLizhuang Ma","2022","http://link.springer.com/article/10.1007/s41095-021-0244-6","Article"
"Cloud Native Trends","Cloud Native Architecture and Design","","","","10.1007/978-1-4842-7226-8_20","Shivakumar R Goniwada","2022","http://link.springer.com/chapter/10.1007/978-1-4842-7226-8_20","Chapter"
