Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Graphical and Textual Model-Driven Microservice Development","Microservices","","","","10.1007/978-3-030-31646-4_7","Florian RademacherJonas SorgallaPhilip WizentySabine SachwehAlbert Zündorf","2020","http://link.springer.com/chapter/10.1007/978-3-030-31646-4_7","Chapter"
"Applying Model-Driven Engineering to Stimulate the Adoption of DevOps Processes in Small and Medium-Sized Development Organizations","SN Computer Science","","2","6","10.1007/s42979-021-00825-z","Jonas SorgallaPhilip WizentyFlorian RademacherSabine SachwehAlbert Zündorf","2021","http://link.springer.com/article/10.1007/s42979-021-00825-z","Article"
"Towards Integrating Blockchains with Microservice Architecture Using Model-Driven Engineering","Agile Processes in Software Engineering and Extreme Programming – Workshops","","","","10.1007/978-3-030-88583-0_16","Simon TrebbauPhilip WizentySabine Sachweh","2021","http://link.springer.com/chapter/10.1007/978-3-030-88583-0_16","Chapter"
"A Model-Driven Approach Towards Automatic Migration to Microservices","Software Engineering Aspects of Continuous Development and New Paradigms of Software Production and Deployment","","","","10.1007/978-3-030-39306-9_2","Antonio BucchiaroneKemal SoysalClaudio Guidi","2020","http://link.springer.com/chapter/10.1007/978-3-030-39306-9_2","Chapter"
"Jolie and LEMMA: Model-Driven Engineering and Programming Languages Meet on Microservices","Coordination Models and Languages","","","","10.1007/978-3-030-78142-2_17","Saverio GiallorenzoFabrizio MontesiMarco PeressottiFlorian RademacherSabine Sachweh","2021","http://link.springer.com/chapter/10.1007/978-3-030-78142-2_17","Chapter"
"Requirements for a model-driven cloud-native migration of monolithic web-based applications","SICS Software-Intensive Cyber-Physical Systems","","35","1 - 2","10.1007/s00450-019-00414-9","Robin LichtenthälerMike PrechtlChristoph SchwilleTobias SchwartzPascal CezanneGuido Wirtz","2020","http://link.springer.com/article/10.1007/s00450-019-00414-9","Article"
"Integrating Web-Based Collaborative Live Editing and Wireframing into a Model-Driven Web Engineering Process","Data Science and Engineering","","5","3","10.1007/s41019-020-00131-3","Peter de LangePetru NicolaescuAlexander Tobias NeumannRalf Klamma","2020","http://link.springer.com/article/10.1007/s41019-020-00131-3","Article"
"DSLs and Middleware Platforms in a Model-Driven Development Approach for Secure Predictive Maintenance Systems in Smart Factories","Leveraging Applications of Formal Methods, Verification and Validation","","","","10.1007/978-3-030-89159-6_10","Jobish JohnAmrita GhosalTiziana MargariaDirk Pesch","2021","http://link.springer.com/chapter/10.1007/978-3-030-89159-6_10","Chapter"
"Model-Driven Simulation for Performance Engineering of Kubernetes-Style Cloud Cluster Architectures","Advances in Service-Oriented and Cloud Computing","","","","10.1007/978-3-030-63161-1_1","Federico GhirardiniAreeg SamirIlenia FronzaClaus Pahl","2020","http://link.springer.com/chapter/10.1007/978-3-030-63161-1_1","Chapter"
"Collaborative Wireframing for Model-Driven Web Engineering","Web Information Systems Engineering – WISE 2019","","","","10.1007/978-3-030-34223-4_24","Peter de LangePetru NicolaescuMario RosenstengelRalf Klamma","2019","http://link.springer.com/chapter/10.1007/978-3-030-34223-4_24","Chapter"
