Item Title;Publication Title;Book Series Title;Journal Volume;Journal Issue;Item DOI;Authors;Publication Year;URL;Content Type;
Literature Review of Service-Oriented Architecture (SOA) Adoption Researches and the Related Significant Factors;The Impact of Service Oriented Architecture Adoption on Organizations;;;;10.1007/978-3-030-12100-6_2;Naghmeh NiknejadAb Razak Che HussinIraj Sadegh Amiri;2019;http://link.springer.com/chapter/10.1007/978-3-030-12100-6_2;Chapter;
A Systematic Literature Review for Service-Oriented Architecture and Agile Development;Computational Science and Its Applications – ICCSA 2019;;;;10.1007/978-3-030-24308-1_11;James Taylor Faria ChavesSergio Antônio Andrade de Freitas;2019;http://link.springer.com/chapter/10.1007/978-3-030-24308-1_11;Chapter;
Service Oriented Architecture for Clinical Decision Support: A Systematic Review and Future Directions;Journal of Medical Systems;;38;12;10.1007/s10916-014-0140-z;Salvador Rodriguez LoyaKensaku KawamotoChris ChatwinVojtech Huser;2014;http://link.springer.com/article/10.1007/s10916-014-0140-z;Article;
A review and future directions of SOA-based software architecture modeling approaches for System of Systems;Service Oriented Computing and Applications;;12;03. Apr;10.1007/s11761-018-0245-1;Ahmad MohsinNaeem Khalid Janjua;2018;http://link.springer.com/article/10.1007/s11761-018-0245-1;Article;
A Systematic Literature Review on Service Description Methods;Requirements Engineering: Foundation for Software Quality;;;;10.1007/978-3-642-28714-5_22;Abelneh Y. TekaNelly Condori-FernandezBrahmananda Sapkota;2012;http://link.springer.com/chapter/10.1007/978-3-642-28714-5_22;Chapter;
The essential deployment metamodel: a systematic review of deployment automation technologies;SICS Software-Intensive Cyber-Physical Systems;;35;01. Feb;10.1007/s00450-019-00412-x;Michael WursterUwe BreitenbücherMichael FalkenthalChristoph KriegerFrank LeymannKaroline SaatkampJacopo Soldani;2020;http://link.springer.com/article/10.1007/s00450-019-00412-x;Article;
Web GIS and its architecture: a review;Arabian Journal of Geosciences;;10;23;10.1007/s12517-017-3296-2;Sonam AgrawalR. D. Gupta;2017;http://link.springer.com/article/10.1007/s12517-017-3296-2;Article;
Trust Establishment and Estimation in Cloud Services: A Systematic Literature Review;Journal of Network and Systems Management;;27;2;10.1007/s10922-018-9475-y;Kanwal MahmudMuhammad Usman;2019;http://link.springer.com/article/10.1007/s10922-018-9475-y;Article;
Literature Review: ICT; SDPs and System Design for User Needs;Design Issues for Service Delivery Platforms;;;;10.1007/978-3-658-10541-9_2;Dr. Martin Bergaus;2015;http://link.springer.com/chapter/10.1007/978-3-658-10541-9_2;Chapter
Web Service Composition Based on Petri Nets: Review and Contribution;Resource Discovery;;;;10.1007/978-3-642-45263-5_5;Yudith CardinaleJoyce El HaddadMaude ManouvrierMarta Rukoz;2013;http://link.springer.com/chapter/10.1007/978-3-642-45263-5_5;Chapter;
