Item Title;Publication Title;Book Series Title;Journal Volume;Journal Issue;Item DOI;Authors;Publication Year;URL;Content Type;;;
Internet of things in medical applications with a service-oriented and security approach: a survey;Health and Technology;;8;01. Feb;10.1007/s12553-017-0180-8;Hamideh JavdaniHooman Kashanian;2018;http://link.springer.com/article/10.1007/s12553-017-0180-8;Article;;;
Service-Oriented Architectures Testing: A Survey;Software Engineering;;;;10.1007/978-3-540-95888-8_4;Gerardo CanforaMassimiliano Di Penta;2009;http://link.springer.com/chapter/10.1007/978-3-540-95888-8_4;Chapter;;;
Docker Cluster Management for the Cloud - Survey Results and Own Solution;Journal of Grid Computing;;14;2;10.1007/s10723-016-9366-y;René PeinlFlorian HolzschuherFlorian Pfitzer;2016;http://link.springer.com/article/10.1007/s10723-016-9366-y;Article;;;
A survey on service-oriented middleware for wireless sensor networks;Service Oriented Computing and Applications;;5;2;10.1007/s11761-011-0083-x;Nader MohamedJameela Al-Jaroodi;2011;http://link.springer.com/article/10.1007/s11761-011-0083-x;Article;;;
Technologies for Web and cloud service interaction: a survey;Service Oriented Computing and Applications;;10;2;10.1007/s11761-015-0174-1;Harald Lampesberger;2016;http://link.springer.com/article/10.1007/s11761-015-0174-1;Article;;;
A survey of methods and approaches for reliable dynamic service compositions;Service Oriented Computing and Applications;;8;2;10.1007/s11761-013-0153-3;Anne ImmonenDaniel Pakkala;2014;http://link.springer.com/article/10.1007/s11761-013-0153-3;Article;;;
Data security in mobile cloud computing paradigm: a survey; taxonomy and open research issues;The Journal of Supercomputing;;73;6;10.1007/s11227-016-1945-y;Tarunpreet BhatiaA. K. Verma;2017;http://link.springer.com/article/10.1007/s11227-016-1945-y;Article;;
The internet of things: a survey;Information Systems Frontiers;;17;2;10.1007/s10796-014-9492-7;Shancang LiLi Da XuShanshan Zhao;2015;http://link.springer.com/article/10.1007/s10796-014-9492-7;Article;;;
A survey of service composition in ambient intelligence environments;Artificial Intelligence Review;;40;3;10.1007/s10462-011-9283-1;Thanos G. StavropoulosDimitris VrakasIoannis Vlahavas;2013;http://link.springer.com/article/10.1007/s10462-011-9283-1;Article;;;
From business to software: a B2B survey;Information Systems and e-Business Management;;7;2;10.1007/s10257-008-0082-4;Jürgen DornChristoph GrünHannes WerthnerMarco Zapletal;2009;http://link.springer.com/article/10.1007/s10257-008-0082-4;Article;;;
A survey on security issues and solutions at different layers of Cloud computing;The Journal of Supercomputing;;63;2;10.1007/s11227-012-0831-5;Chirag ModiDhiren PatelBhavesh BorisaniyaAvi PatelMuttukrishnan Rajarajan;2013;http://link.springer.com/article/10.1007/s11227-012-0831-5;Article;;;
Integration of business process modeling and Web services: a survey;Service Oriented Computing and Applications;;8;2;10.1007/s11761-013-0138-2;Katarina GrolingerMiriam A. M. CapretzAmerico CunhaSaid Tazi;2014;http://link.springer.com/article/10.1007/s11761-013-0138-2;Article;;;
