Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"A Review on Mobile Cloud Computing Interoperability Issues and Challenges","Inventive Communication and Computational Technologies","","","","10.1007/978-981-15-0146-3_30","Tribid DebbarmaK. Chandrasekaran","2020","http://link.springer.com/chapter/10.1007/978-981-15-0146-3_30","Chapter"
"A Systematic Literature Review on Service Description Methods","Requirements Engineering: Foundation for Software Quality","","","","10.1007/978-3-642-28714-5_22","Abelneh Y. TekaNelly Condori-FernandezBrahmananda Sapkota","2012","http://link.springer.com/chapter/10.1007/978-3-642-28714-5_22","Chapter"
"Design notations for secure software: a systematic literature review","Software & Systems Modeling","","16","3","10.1007/s10270-015-0486-9","Alexander van den BergheRiccardo ScandariatoKoen YskoutWouter Joosen","2017","http://link.springer.com/article/10.1007/s10270-015-0486-9","Article"
"The essential deployment metamodel: a systematic review of deployment automation technologies","SICS Software-Intensive Cyber-Physical Systems","","35","1 - 2","10.1007/s00450-019-00412-x","Michael WursterUwe BreitenbücherMichael FalkenthalChristoph KriegerFrank LeymannKaroline SaatkampJacopo Soldani","2020","http://link.springer.com/article/10.1007/s00450-019-00412-x","Article"
"A Review of Security Risk Assessment Methods in Cloud Computing","New Perspectives in Information Systems and Technologies, Volume 1","","","","10.1007/978-3-319-05951-8_42","Fatimah M. AlturkistaniAhmed Z. Emam","2014","http://link.springer.com/chapter/10.1007/978-3-319-05951-8_42","Chapter"
"Middleware Frameworks for Mobile Cloud Computing, Internet of Things and Cloud of Things: A Review","Ambient Communications and Computer Systems","","","","10.1007/978-981-15-1518-7_4","Tribid DebbarmaK. Chandrasekaran","2020","http://link.springer.com/chapter/10.1007/978-981-15-1518-7_4","Chapter"
"A Systematic Review of Metamodelling in Software Engineering","Recent Advances in Intelligent Systems and Smart Applications","","","","10.1007/978-3-030-47411-9_1","Murni FatehahVitaliy MezhuyevMostafa Al-Emran","2021","http://link.springer.com/chapter/10.1007/978-3-030-47411-9_1","Chapter"
"Systematic literature review of the objectives, techniques, kinds, and architectures of models at runtime","Software & Systems Modeling","","15","1","10.1007/s10270-013-0394-9","Michael SzvetitsUwe Zdun","2016","http://link.springer.com/article/10.1007/s10270-013-0394-9","Article"
"AutoTutor and Family: A Review of 17 Years of Natural Language Tutoring","International Journal of Artificial Intelligence in Education","","24","4","10.1007/s40593-014-0029-5","Benjamin D. NyeArthur C. GraesserXiangen Hu","2014","http://link.springer.com/article/10.1007/s40593-014-0029-5","Article"
"Event-Driven Business Process Management Enhancing IoT – A Systematic Literature Review and Development of Research Agenda","Innovation Through Information Systems","","","","10.1007/978-3-030-86800-0_44","Christoph StoiberStefan Schönig","2021","http://link.springer.com/chapter/10.1007/978-3-030-86800-0_44","Chapter"
"Cloud resource orchestration in the multi-cloud landscape: a systematic review of existing frameworks","Journal of Cloud Computing","","9","1","10.1186/s13677-020-00194-7","Orazio TomarchioDomenico CalcaterraGiuseppe Di Modica","2020","http://link.springer.com/article/10.1186/s13677-020-00194-7","Article"
"Model-driven development of accessible software: a systematic literature review","Universal Access in the Information Society","","","","10.1007/s10209-020-00751-6","Karla OrdoñezJosé HileraSamanta Cueva","2020","http://link.springer.com/article/10.1007/s10209-020-00751-6","Article"
"Using meta-heuristics and machine learning for software optimization of parallel computing systems: a systematic literature review","Computing","","101","8","10.1007/s00607-018-0614-9","Suejb MemetiSabri PllanaAlécio BinottoJoanna KołodziejIvona Brandic","2019","http://link.springer.com/article/10.1007/s00607-018-0614-9","Article"
"A Review on Security Issues in Healthcare Cyber-Physical Systems","Cyber Intelligence and Information Retrieval","","","","10.1007/978-981-16-4284-5_4","V. S. AbhijithB. SowmiyaS. SudersanM. ThangavelP. Varalakshmi","2022","http://link.springer.com/chapter/10.1007/978-981-16-4284-5_4","Chapter"
"Flexible automated warehouse: a literature review and an innovative framework","The International Journal of Advanced Manufacturing Technology","","106","1 - 2","10.1007/s00170-019-04588-z","Larissa CustodioRicardo Machado","2020","http://link.springer.com/article/10.1007/s00170-019-04588-z","Article"
"LITERATURE REVIEW","Stream Data Processing: A Quality of Service Perspective","","","","10.1007/978-0-387-71003-7_4","Sharma ChakravarthyQingchun Jiang","2009","http://link.springer.com/chapter/10.1007/978-0-387-71003-7_4","Chapter"
"Search. Review. Repeat? An empirical study of threats to replicating SLR searches","Empirical Software Engineering","","25","1","10.1007/s10664-019-09763-0","Jacob KrügerChristian LausbergerIvonne von Nostitz-WallwitzGunter SaakeThomas Leich","2020","http://link.springer.com/article/10.1007/s10664-019-09763-0","Article"
