Item Title;Publication Title;Book Series Title;Journal Volume;Journal Issue;Item DOI;Authors;Publication Year;URL;Content Type;;;
A survey on service-oriented middleware for wireless sensor networks;Service Oriented Computing and Applications;;5;2;10.1007/s11761-011-0083-x;Nader MohamedJameela Al-Jaroodi;2011;http://link.springer.com/article/10.1007/s11761-011-0083-x;Article;;;
A feature-based survey of model view approaches;Software & Systems Modeling;;18;3;10.1007/s10270-017-0622-9;Hugo BruneliereErik BurgerJordi CabotManuel Wimmer;2019;http://link.springer.com/article/10.1007/s10270-017-0622-9;Article;;;
Application Software in Cloud-Ready Data Centers: A Survey;Engineering and Management of Data Centers;;;;10.1007/978-3-319-65082-1_12;Johannes HintschAteeq KhanAndré SieglingKlaus Turowski;2017;http://link.springer.com/chapter/10.1007/978-3-319-65082-1_12;Chapter;;;
A survey of autonomic computing methods in digital service ecosystems;Service Oriented Computing and Applications;;11;1;10.1007/s11761-016-0203-8;Dhaminda B. AbeywickramaEila Ovaska;2017;http://link.springer.com/article/10.1007/s11761-016-0203-8;Article;;;
A survey of compliance issues in cloud computing;Journal of Internet Services and Applications;;7;1;10.1186/s13174-016-0046-8;Dereje YimamEduardo B. Fernandez;2016;http://link.springer.com/article/10.1186/s13174-016-0046-8;Article;;;
The 2020 Expert Survey on Formal Methods;Formal Methods for Industrial Critical Systems;;;;10.1007/978-3-030-58298-2_1;Hubert GaravelMaurice H. ter BeekJaco van de Pol;2020;http://link.springer.com/chapter/10.1007/978-3-030-58298-2_1;Chapter;;;
Cloud resource provisioning: survey; status and future research directions;Knowledge and Information Systems;;49;3;10.1007/s10115-016-0922-3;Sukhpal SinghInderveer Chana;2016;http://link.springer.com/article/10.1007/s10115-016-0922-3;Article;;
A survey of model-driven techniques and tools for cyber-physical systems;Frontiers of Information Technology & Electronic Engineering;;21;11;10.1631/FITEE.2000311;Bo LiuYuan-rui ZhangXue-lian CaoYu LiuBin GuTie-xin Wang;2020;http://link.springer.com/article/10.1631/FITEE.2000311;Article;;;
A survey on search-based model-driven engineering;Automated Software Engineering;;24;2;10.1007/s10515-017-0215-4;Ilhem BoussaïdPatrick SiarryMohamed Ahmed-Nacer;2017;http://link.springer.com/article/10.1007/s10515-017-0215-4;Article;;;
From Access Control Models to Access Control Metamodels: A Survey;Advances in Information and Communication;;;;10.1007/978-3-030-12385-7_61;Nadine KashmarMehdi AddaMirna Atieh;2020;http://link.springer.com/chapter/10.1007/978-3-030-12385-7_61;Chapter;;;
