Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Systematic Literature Review on Service Oriented Architecture Modeling","Computational Science and Its Applications – ICCSA 2021","","","","10.1007/978-3-030-86970-0_15","Khouloud ZaafouriMariam ChaabaneIsmael Bouassida Rodriguez","2021","http://link.springer.com/chapter/10.1007/978-3-030-86970-0_15","Chapter"
"A Literature Review on Service Identification Challenges in Service Oriented Architecture","Knowledge Management in Organizations","","","","10.1007/978-3-319-95204-8_18","Basel Bani-IsmailYoucef Baghdadi","2018","http://link.springer.com/chapter/10.1007/978-3-319-95204-8_18","Chapter"
"A Systematic Literature Review on Service Description Methods","Requirements Engineering: Foundation for Software Quality","","","","10.1007/978-3-642-28714-5_22","Abelneh Y. TekaNelly Condori-FernandezBrahmananda Sapkota","2012","http://link.springer.com/chapter/10.1007/978-3-642-28714-5_22","Chapter"
"Design notations for secure software: a systematic literature review","Software & Systems Modeling","","16","3","10.1007/s10270-015-0486-9","Alexander van den BergheRiccardo ScandariatoKoen YskoutWouter Joosen","2017","http://link.springer.com/article/10.1007/s10270-015-0486-9","Article"
"A review and future directions of SOA-based software architecture modeling approaches for System of Systems","Service Oriented Computing and Applications","","12","3 - 4","10.1007/s11761-018-0245-1","Ahmad MohsinNaeem Khalid Janjua","2018","http://link.springer.com/article/10.1007/s11761-018-0245-1","Article"
"The essential deployment metamodel: a systematic review of deployment automation technologies","SICS Software-Intensive Cyber-Physical Systems","","35","1 - 2","10.1007/s00450-019-00412-x","Michael WursterUwe BreitenbücherMichael FalkenthalChristoph KriegerFrank LeymannKaroline SaatkampJacopo Soldani","2020","http://link.springer.com/article/10.1007/s00450-019-00412-x","Article"
"Main Principles on the Integration of SOC and MDD Paradigms to Business Processes: A Systematic Review","Software and Data Technologies","","","","10.1007/978-3-642-29578-2_6","Andrea DelgadoFrancisco RuizIgnacio García-Rodríguez de GuzmánMario Piattini","2013","http://link.springer.com/chapter/10.1007/978-3-642-29578-2_6","Chapter"
"A review of the application of component-based software development in open CNC systems","The International Journal of Advanced Manufacturing Technology","","107","9 - 10","10.1007/s00170-020-05258-1","Lisi LiuYingxue YaoJianguang Li","2020","http://link.springer.com/article/10.1007/s00170-020-05258-1","Article"
"Business process flexibility - a systematic literature review with a software systems perspective","Information Systems Frontiers","","20","2","10.1007/s10796-016-9678-2","Riccardo CogniniFlavio CorradiniStefania GnesiAndrea PoliniBarbara Re","2018","http://link.springer.com/article/10.1007/s10796-016-9678-2","Article"
"A Systematic Review of Metamodelling in Software Engineering","Recent Advances in Intelligent Systems and Smart Applications","","","","10.1007/978-3-030-47411-9_1","Murni FatehahVitaliy MezhuyevMostafa Al-Emran","2021","http://link.springer.com/chapter/10.1007/978-3-030-47411-9_1","Chapter"
"Web GIS and its architecture: a review","Arabian Journal of Geosciences","","10","23","10.1007/s12517-017-3296-2","Sonam AgrawalR. D. Gupta","2017","http://link.springer.com/article/10.1007/s12517-017-3296-2","Article"
"The challenges, approaches, and used techniques of CPS for manufacturing in Industry 4.0: a literature review","The International Journal of Advanced Manufacturing Technology","","113","7 - 8","10.1007/s00170-020-06572-4","Baudouin DafflonNejib MoallaYacine Ouzrout","2021","http://link.springer.com/article/10.1007/s00170-020-06572-4","Article"
"A review on architecture and models for autonomic software systems","The Journal of Supercomputing","","77","1","10.1007/s11227-020-03268-0","Pooja DehrajArun Sharma","2021","http://link.springer.com/article/10.1007/s11227-020-03268-0","Article"
