Item Title;Publication Title;Book Series Title;Journal Volume;Journal Issue;Item DOI;Authors;Publication Year;URL;Content Type;;;;;;
A survey of model-driven techniques and tools for cyber-physical systems;Frontiers of Information Technology & Electronic Engineering;;21;11;10.1631/FITEE.2000311;Bo LiuYuan-rui ZhangXue-lian CaoYu LiuBin GuTie-xin Wang;2020;http://link.springer.com/article/10.1631/FITEE.2000311;Article;;;;;;
A Survey of Cloud Computing Migration Issues and Frameworks;New Perspectives in Information Systems and Technologies, Volume 1;;;;10.1007/978-3-319-05951-8_16;Abílio CardosoFernando MoreiraPaulo Simões;2014;http://link.springer.com/chapter/10.1007/978-3-319-05951-8_16;Chapter;;;;;;
Next Generation Mobile Core Resource Orchestration: Comprehensive Survey; Challenges and Perspectives;Wireless Personal Communications;;120;2;10.1007/s11277-021-08517-w;Ibrahim Al-SurmiBasheer RaddwanIbrahim Al-Baltah;2021;http://link.springer.com/article/10.1007/s11277-021-08517-w;Article;;;;;
A survey of methods and approaches for reliable dynamic service compositions;Service Oriented Computing and Applications;;8;2;10.1007/s11761-013-0153-3;Anne ImmonenDaniel Pakkala;2014;http://link.springer.com/article/10.1007/s11761-013-0153-3;Article;;;;;;
A survey of compliance issues in cloud computing;Journal of Internet Services and Applications;;7;1;10.1186/s13174-016-0046-8;Dereje YimamEduardo B. Fernandez;2016;http://link.springer.com/article/10.1186/s13174-016-0046-8;Article;;;;;;
A survey of autonomic computing methods in digital service ecosystems;Service Oriented Computing and Applications;;11;1;10.1007/s11761-016-0203-8;Dhaminda B. AbeywickramaEila Ovaska;2017;http://link.springer.com/article/10.1007/s11761-016-0203-8;Article;;;;;;
From business to software: a B2B survey;Information Systems and e-Business Management;;7;2;10.1007/s10257-008-0082-4;Jürgen DornChristoph GrünHannes WerthnerMarco Zapletal;2009;http://link.springer.com/article/10.1007/s10257-008-0082-4;Article;;;;;;
Integration of business process modeling and Web services: a survey;Service Oriented Computing and Applications;;8;2;10.1007/s11761-013-0138-2;Katarina GrolingerMiriam A. M. CapretzAmerico CunhaSaid Tazi;2014;http://link.springer.com/article/10.1007/s11761-013-0138-2;Article;;;;;;
Survey on CPN Applications in Cloud Computing;Advances in Computer Science and Ubiquitous Computing;;;;10.1007/978-981-10-3023-9_139;Rustam Rakhimov IgorevichDugki Min;2017;http://link.springer.com/chapter/10.1007/978-981-10-3023-9_139;Chapter;;;;;;
Survey of reliability and availability prediction methods from the viewpoint of software architecture;Software & Systems Modeling;;7;1;10.1007/s10270-006-0040-x;Anne ImmonenEila Niemelä;2007;http://link.springer.com/article/10.1007/s10270-006-0040-x;Article;;;;;;
A survey on search-based model-driven engineering;Automated Software Engineering;;24;2;10.1007/s10515-017-0215-4;Ilhem BoussaïdPatrick SiarryMohamed Ahmed-Nacer;2017;http://link.springer.com/article/10.1007/s10515-017-0215-4;Article;;;;;;
